pdf_filename,procedure_description,typical_duration,anesthesia_type,hospital_stay,recovery_timeline,risks_mentioned,category,procedure,confidence
[92%] ESVS-2022-CVD-Guidelines.pdf,CLINICAL PRACTICE GUIDELINE DOCUMENT Editor ’s Choice –European Society for Vascular Surgery (ESVS) 2022 Clinical Practice Guidelines on the Management of Chronic Venous Disease of the Lower Limbs 5 Marianne G,,Local,,,"['bleeding', 'complications']",Cardiac Surgery,Cardiac Surgery,0.92
[94%] AHSBrochureFinal.pdf,"The Society of Thoracic Surgeons What to Expect After Heart Surgery The more you know about what to expect after heart surgery, the smoother your recovery may be",,,,,"['bleeding', 'infection']",Cardiac Surgery,Cardiac Surgery,0.94
[56%] SHC-Surgical-Prophylaxis-ABX-Guideline.pdf,Choice of antibiotics : Please see table I for acceptable choices of antibiotics based upon surgical procedure,,,,,['infection'],Cardiac Surgery,Cardiac Surgery,0.56
[94%] Chapter-18-Post-procedure-management-complications-March-2-2018.pdf,"Chapter 18: Post -procedure management: complications; anticoagulation, standard pathways, discharge instructions and follow -up Gregory Pattakos MD, MS1, Joseph Coselli MD , FACC2 1Texas Heart Institute 2Baylor College of Medicine Anticoagulation Anti-platelet therapy consisting of lifelong aspirin at a dose of 75 -100 mg and six months of clopidogrel at a dose of 75 mg is recommended after TAVR based on the 201 7 AHA/ACC Valve Guidelines (Class IIb, LOE C)1",,,,,"['bleeding', 'complications']",Cardiac Surgery,Cardiac Surgery,0.94
[100%] ame_guide.pdf,"The format of this version of the Guide provides instant access to information regarding regulations, medical history, examination procedures, dispositions, and protocols necessary for completion of the FAA Form 8500-8, Application for Airman Medical Certificate",,,,,[],Cardiac Surgery,Cardiac Surgery,1.0
[96%] patient-guide-to-after-cardio-surgery-booklet_mph.pdf,"Patient Guide Cardiac, Vascular and Thoracic Surgery After Your Surgery Morton Plant",,,,,['blood clot'],Cardiac Surgery,Cardiac Surgery,0.96
[96%] ESVS-2024-AAA-Guidelines.pdf,"CLINICAL PRACTICE GUIDELINE DOCUMENT Editor ’s Choice –European Society for Vascular Surgery (ESVS) 2024 Clinical Practice Guidelines on the Management of Abdominal Aorto-Iliac Artery Aneurysms 5 Anders Wanhainena,*, Isabelle Van Herzeelea, Frederico Bastos Goncalvesa, Sergi Bellmunt Montoyaa, Xavier Berarda, Jonathan R",,regional,,,"['bleeding', 'infection', 'complications']",Cardiac Surgery,Cardiac Surgery,0.96
[65%] R59SOMA.pdf,"100 -07 State Operations Provider Certification Centers for Medicare & Medicaid Services (CMS) Transmittal 59 Date: May 21, 2010 SUBJECT: Clarification of the Interpretive Guidelines for the Anesthesia Services Condition of Participation I",,general,,,['infection'],Cardiac Surgery,Cardiac Surgery,0.65
[72%] how-can-i-recover-from-heart-surgery.pdf,"It will depend on the type of procedure you had, your health before surgery and any potential complications",,,,,['complications'],Cardiac Surgery,Cardiac Surgery,0.72
[84%] pr-20255---atrial-fibrillation-catheter-acc.pdf,My Atrial Fibrillation Catheter Ablation Guide What you need to know about your care Date of Procedure: ________________________ My Angiogram Table of Contents 19 How to Care of My Access Site 21 When to Get Medical Help When to Get Medical Help 21 Recurrence of AFib 21 23 Daily Activities Cardiac Rehabilitation Program 23 Your At-Home Exercise Program 24 Activity Guidelines 25 27 Healthy Living 31 Sunnybrook Map7 Diagnosing the Problem Understanding Your Treatment Choices 7 9 The Day of Cathete,,,,,[],Cardiac Surgery,Cardiac Surgery,0.84
[96%] clm104c04.pdf,- Reporting for Certain Outpatient Department Services (That Are Similar to Therapy Services) (“Non -Therapy Outpatient Department Services”) and Are Adjunctive to Comprehensive APC Procedures 10,,,,,[],Cardiac Surgery,Cardiac Surgery,0.96
[100%] pr-47678---coronaryarterybypassguide.pdf,My Coronary Artery Bypass Including Preparation and After-Surgery Care Date of Surgery: _____________________________ Estimated Date of Discharge: _________________ Table of Contents 25 Taking Care of Your Incisions 42 Who to Call if You Have Questions27 Getting Back to Daily Activities Cardiac Rehabilitation Program,,,,,[],Cardiac Surgery,Cardiac Surgery,1.0
[100%] pr-47678---coronaryarterybypassguide.pdf,My Coronary Artery Bypass Including Preparation and After-Surgery Care Date of Surgery: _____________________________ Estimated Date of Discharge: _________________ Table of Contents 25 Taking Care of Your Incisions 42 Who to Call if You Have Questions27 Getting Back to Daily Activities Cardiac Rehabilitation Program,,,,,[],Cardiac Surgery,Coronary Artery Bypass,1.0
[96%] 1146-MesentericArteryAngioplastyAndStenting.pdf,Preparing for your Mesenteric Artery Angioplasty and Stenting Procedure Michigan Medicine Frankel Cardiovascular Center Frankel Cardiovascular Center Preparing for your Mesenteric Artery Angioplasty and Stenting -2- Michigan Medicine Phone Numbers Billing ………………………………………………………………………… 855 -855-0863 734-615-0863 Call Center ……………………………………………………………………888 -287-1082 Vascular Surgery (use Call Center) ………………………………………888 -287-1082 Cardiovascular Operating Room Desk …………………………………734 -232-4553 Office of ,,General,,,"['bleeding', 'infection', 'complications']",Cardiac Surgery,Angioplasty,0.96
[48%] knee-tkr-protocol-bwh.pdf,Pain Management Adequate pain control after TKA is important in expediting patient progress with mobility and range of motion after surgery,,epidural,,,"['bleeding', 'infection', 'nerve damage', 'complications']",Neurosurgery,Neurosurgery,0.48
[88%] 8581.00.pdf,"Local treatments Some treatments, like surgery and radiation, are local, meaning they treat the tumor without affecting the rest of the body",,,,,[],Neurosurgery,Neurosurgery,0.88
[90%] post_op_ctr.pdf,Post-Operative Instructions for Carpal Tunnel Release Purpose of surgery The goal of the operation is to decompress the Median nerve at the level of your wrist to help relieve the pressure upon it,,,,,"['nerve damage', 'scarring']",Neurosurgery,Neurosurgery,0.9
[72%] Trigger-Finger-Post-Op.pdf,"Hess, MD Tracey Pederson, PCC Office: (763) 3012-2223 Fax: (763) 302-2401 WOUND CARE: • After surgery, wounds are typically covered with a soft dressing",,,,,['infection'],Neurosurgery,Neurosurgery,0.72
[92%] CareafterCarotidArteryAngioplastyStenting.pdf,Department of Neurosurgery -1- How to Care for Yourself after Carotid Artery Angioplasty and Stenting What is Carotid Artery Angioplasty and Stenting? This procedure is used to open the carotid artery and restore normal blood flow,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Neurosurgery,Angioplasty,0.92
[48%] knee-tkr-protocol-bwh.pdf,Pain Management Adequate pain control after TKA is important in expediting patient progress with mobility and range of motion after surgery,,epidural,,,"['bleeding', 'infection', 'nerve damage', 'complications']",Neurosurgery,Total Knee Replacement,0.48
[96%] spine-center-pre-op-educational-packet.pdf,1 January 2025 SPINE SURGERY PRE‐OPERATIVE EDUCATION PACKET 2 January 2025 SPINE SURGERY PRE‐OPERATIVE EDUCATION PACKET Thank you for choosing UC Davis to manage your surgical needs,,,,,['blood clot'],Neurosurgery,Spinal Fusion,0.96
[92%] Patient%20Discharge-SpinalFusion.3.31.17.pdf,Diet You may resume the type of diet you had before surgery,,,,,[],Neurosurgery,Spinal Fusion,0.92
[84%] LumbarSpinalFusion.pdf,"Department of Neurosurgery 734-936-7010 - 1 - How to Care for Yoursel f After Lumbar Spinal Fusion What is Lumbar Spinal Fusion? Lumbar Spinal Fusion is the placement of screws, rods and cages to steady the spine",,,,,['blood clot'],Neurosurgery,Spinal Fusion,0.84
[82%] if-hp-cancer-guide-br016-breast-reconstruction.pdf,ca 2 Guideline Resource Unit Last revised: February 2017 Background Local treatment for early breast cancer has shown the equivalence of total mastectomy and breast conservation surgery plus radiation therapy as it relates to overall survival,,,,,"['infection', 'scarring', 'complications']",Plastic Surgery,Plastic Surgery,0.82
[74%] aftercare-brachioplasty.pdf,com for additional information on plastic surgery and wellness,,,,,['bleeding'],Plastic Surgery,Plastic Surgery,0.74
[64%] aftercare-gynecomastia.pdf,com for additional information on plastic surgery and wellness,,,,,['blood clot'],Plastic Surgery,Plastic Surgery,0.64
[80%] Breast-reconstruction-total-masectomy-post-op-care-221118.pdf,Drain tube A drain tube will be placed into the wound bed at the time of surgery to remove excess fluid,,,,,"['infection', 'scarring']",Plastic Surgery,Plastic Surgery,0.8
[88%] Rhinoplasty-postop.pdf,Rhinoplasty (Nose Surgery) Post -Operative Instructions What are my post -operative instructions? • Have someone drive you home after surgery and help you at home for 1 -2 days,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Plastic Surgery,Plastic Surgery,0.88
[84%] Rhinoplasty.pdf,"Facial Cosmetic Surgery - 1 - Septo/Rhinoplasty (Nose Surgery) Post -Operative Instructions What supplies do I need to buy before the procedure ?  Vaseline®  Gauze Pads  Q-tips®  Hydrogen Peroxide 3%  Saline Nasal Spray  Afrin® Nasal Spray  Neil Med® Sinus Rinse (If this is prescribed , follow your doctor ’s instructions",,,,,"['bleeding', 'blood clot', 'complications']",Plastic Surgery,Plastic Surgery,0.84
[74%] aftercare-genioplasty.pdf,com for additional information on plastic surgery and wellness,,,,,[],Plastic Surgery,Plastic Surgery,0.74
[92%] mastectomy_postop_draft_LGM_20220425.pdf,"Harvey Bumpers , MD, FACS MSU Health Care Surgery 4660 S",,,,,['bleeding'],Plastic Surgery,Plastic Surgery,0.92
[88%] trigger-finger-post-op.pdf,"Hess, MD Tracey Pederson, PCC Office: (763) 3012-2223 Fax: (763) 302-2401 WOUND CARE: • After surgery, wounds are typically covered with a soft dressing",,,,,['infection'],Plastic Surgery,Plastic Surgery,0.88
[59%] 59553%20CTMS%20Pt%20Hndbk_interactive%20web.pdf,"Patient Handbook2019 Center for Transgender Medicine and Surgery Comprehensive Care for Transgender and Gender Non-Binary Individuals Welcome to the Mount Sinai Center for Transgender Medicine and Surgery At the Mount Sinai Center for Transgender Medicine and Surgery (CTMS), we provide comprehensive, compassionate care to trans- gender and gender non-binary individuals",,local,,,['complications'],Plastic Surgery,Plastic Surgery,0.59
[84%] Rhinoplasty-Postoperative-Care.pdf,"Certified, The American Board of Plastic Surgery RHINOPLASTY AFTER CARE INSTRUCTIONS GENERAL INSTRUCTIONS • Elevate head of bed to 30-45 degree angle for one week",,,,,"['bleeding', 'infection', 'blood clot']",Plastic Surgery,Plastic Surgery,0.84
[88%] aftercare-breast-augmentation.pdf,PLASTIC SURGERY BREAST AUGMENTATION AFTER CARE INSTRUCTIONS 1,,,,,['infection'],Plastic Surgery,Plastic Surgery,0.88
[92%] guide-to-mastectomy-with-te-eras-31023.pdf,Your Guide to Mastectomy with Tissue Expander s Surgery Preparing for and Recovering from Surgery Patient Name Surgeon Name Index: Introduction………………………………………………………,,,,,"['bleeding', 'complications']",Plastic Surgery,Plastic Surgery,0.92
[92%] Facelift-postop.pdf,UMHS Plastic Surgery (734) 998-6022 - 1 - Face Lift Post -Operative Instructions What are my post -operative instructions? • Have someone drive you home after surgery and stay with you at home for 1 -2 days,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Plastic Surgery,Plastic Surgery,0.92
[64%] aftercare-abdominoplasty.pdf,com for additional information on plastic surgery and wellness Dallas Plastic Surgery Institute : 214 -821-9114 Dr,,,,,"['bleeding', 'infection']",Plastic Surgery,Plastic Surgery,0.64
[82%] FFS%2021471681%20ENT%20Rhinoplasty%20After%20Surgery%20Booklet%20d4%20%281%29%20updated%205.4.20.pdf,OREGON HEALTH & SCIENCE UNIVERSITY Rhinoplasty (Nasal Surgery) Postoperative Care 2 3 You have just had a “rhinoplasty” (surgery on your nose),,,,,[],Plastic Surgery,Plastic Surgery,0.82
[92%] mastectomy_postop_draft_LGM_20220425.pdf,"Harvey Bumpers , MD, FACS MSU Health Care Surgery 4660 S",,,,,['bleeding'],Plastic Surgery,Mastectomy,0.92
[92%] guide-to-mastectomy-with-te-eras-31023.pdf,Your Guide to Mastectomy with Tissue Expander s Surgery Preparing for and Recovering from Surgery Patient Name Surgeon Name Index: Introduction………………………………………………………,,,,,"['bleeding', 'complications']",Plastic Surgery,Mastectomy,0.92
[92%] Clinical%20Practice%20Guideline-%20Improving%20Nasal%20Form%20and%20Function%20after%20Rhinoplasty.pdf,156(2S) S1 –S30 © American Academy of Otolaryngology—Head and Neck Surgery Foundation 2017 Reprints and permission: sagepub,,,,,"['bleeding', 'infection', 'complications']",Plastic Surgery,Septoplasty,0.92
[82%] CTMSPatientHandbook.pdf,"Patient Handbook2021 Center for Transgender Medicine and Surgery Comprehensive Care for Transgender and Non-Binary Individuals Welcome to the Mount Sinai Center for Transgender Medicine and Surgery At the Mount Sinai Center for Transgender Medicine and Surgery (CTMS), we provide comprehensive, compassionate care to transgender and non-binary individuals",,local,,,['complications'],Plastic Surgery,Total Hip Replacement,0.82
[88%] aftercare-facelift-neck-lift.pdf,com for additional information on plastic surgery and wellness,,,,,[],Plastic Surgery,Facelift,0.88
[92%] Facelift-postop.pdf,UMHS Plastic Surgery (734) 998-6022 - 1 - Face Lift Post -Operative Instructions What are my post -operative instructions? • Have someone drive you home after surgery and stay with you at home for 1 -2 days,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Plastic Surgery,Facelift,0.92
[82%] if-hp-cancer-guide-br016-breast-reconstruction.pdf,ca 2 Guideline Resource Unit Last revised: February 2017 Background Local treatment for early breast cancer has shown the equivalence of total mastectomy and breast conservation surgery plus radiation therapy as it relates to overall survival,,,,,"['infection', 'scarring', 'complications']",Plastic Surgery,Breast Reconstruction,0.82
[80%] Breast-reconstruction-total-masectomy-post-op-care-221118.pdf,Drain tube A drain tube will be placed into the wound bed at the time of surgery to remove excess fluid,,,,,"['infection', 'scarring']",Plastic Surgery,Breast Reconstruction,0.8
[70%] 261417.pdf,", Suite 102, Reston, Virginia, 20190 Anti-reflux Surgery Post -op Expectations o Patients are encouraged to engage in light activity while at home after surgery",,,,,['bleeding'],GI Surgery,GI Surgery,0.7
[92%] s13017-018-0162-9.pdf,"ten Broek35, Luigi Zorcolo36, Maria Clotilde Carra37, Yoram Kluger10and Fausto Catena38 Abstract Iatrogenic colonoscopy perforation (ICP) is a severe complic ation that can occur during both diagnostic and therapeutic procedures",,General,,,"['bleeding', 'infection', 'complications']",GI Surgery,GI Surgery,0.92
[76%] Healy-Hip-Arthroscopy-Post-Op-Instructions.pdf,"●Low-grade temperatures up to 101 are common after surgery, please call if temperature rises above 101",,,,,['blood clot'],GI Surgery,GI Surgery,0.76
[76%] Healy-Hip-Arthroscopy-Post-Op-Instructions.pdf,"●Low-grade temperatures up to 101 are common after surgery, please call if temperature rises above 101",,,,,['blood clot'],GI Surgery,Total Hip Replacement,0.76
[70%] 2023-Post-Op-Inguinal-Hernia.pdf,7298 POST OPERATIVE INSTRUCTIONS FOR LAPAROSCOPIC OR OPEN INGUINAL HERNIA REPAIR •A mild diet the day of surgery is recommended,,,,,[],General Surgery,General Surgery,0.7
[96%] LAP-INGUINAL-HERNIA-REPAIR-POST-OP-INSTRUCTIONS-1.pdf,"Laparoscopic Inguinal Hernia Repair Post-Op Instructions Post-Op To-Do List: Take Acetaminophen and Ibuprofen tablets every 6 hours together for 2-5 days Do not do anything strenuous for 2 weeks after surgery Please review the post op instructions below if you have questions Pain Soreness or pain at the incisions, the lower abdomen, and groin after surgery is normal",,local,,,['infection'],General Surgery,General Surgery,0.96
[82%] DOCN_Hemrhoidectomy-or-other-Rectal-Surgery.pdf,Hemorrhoidectomy: Before Your Surgery What is a hemorrhoidectomy? Hemorrhoidectomy is surgery to remove hemorrhoids,,Local,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.82
[74%] 261421.pdf,", Suite 102, Reston, Virginia, 20190 Post-op Hiatal Hernia / Paraesophageal Hernia Repair Post -op Expectations o Patients are encouraged to engage in light activity while at home after surgery",,,,,['bleeding'],General Surgery,General Surgery,0.74
[84%] DCR-tics-CPG-2020.pdf,The Clinical Practice Guidelines Com-mittee is composed of society members who are chosen because they have demonstrated expertise in the specialty of colon and rectal surgery,,,,,"['bleeding', 'infection', 'complications']",General Surgery,General Surgery,0.84
[76%] SBMC-Appendectomy-Surgery-Recovery-Guide.pdf,"Acute Care Surgery Comprehensive Recovery Guide - Appendix Surgery (Appendectomy)Acute Care Surgery Service______________________________________ Frank Traupman, MD Nina Glass, MD Aziz M",,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.76
[76%] Laparoscopic_cholecystectomy_postop_instructions.pdf,POST OPERATIVE PATIENT INSTRUCTIONS Procedure: Laparoscopic Cholecystectomy – Gallbladder Removal WHAT TO EXPECT • Surgery to take about 1 hour • Recover from anesthesia usually 1 ½ hour before you are ready to go home • Pain or discomfort 2-3 days POST- OP • You will have absorbable sutures hidden under your skin with skin glue on top of your skin,,,,,['infection'],General Surgery,General Surgery,0.76
[53%] 99151403177386059.pdf,Preamble The laparoscopic approach to appendectomy has gained wide acceptance over the last 15 years as a means of improved diagnostic accuracy and wound complication rate over the open procedure,,general,,,"['infection', 'complications']",General Surgery,General Surgery,0.53
[90%] s13017-017-0149-y.pdf,A World Society of Emergency Surgery (WSES) Consensus Conference was held in Bergamo in July 2013 with the aim to define recommendations for emergency repair of abdominal wall hernias in adults,,local,,,"['infection', 'complications']",General Surgery,General Surgery,0.9
[88%] Post-op-instructions-5-2016.pdf,"com ANAL AND RECTAL SURGERY POST-­‐OP INSTRUCTIONS FISTULOTOMY, FISSURECTOMY, SPHINCTEROTOMY, HEMORRHOIDECTOMY, ANAL WART REMOVAL, ANAL BIOPSY, ANAL DILATION, ANAL SETON REMOVAL, RECTAL BIOPSY, RECTAL PROLAPSE, RECTAL MASS REMOVAL, ANAL CANCER REMOVAL, ANAL SKIN TAG REMOVAL, LASER ABLATION OF HPV OR AIN OR CIS WHEN YOU RETURN HOME FROM SURGERY o Diet: • Consume only liquids or light food (soups, jello) if your stomach feels OK o Pain: • The local numbing injection given in surgery will last appr",,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.88
[92%] univ-colon-rectal-postop-instructions-anorectal-surgery.pdf,"University Colon & Rectal Surgery 1934 Alcoa Hwy, Bldg",,general,,,"['bleeding', 'infection', 'scarring', 'complications']",General Surgery,General Surgery,0.92
[84%] Wojcik_Structured%20Operative%20Autonomy_JACS%202017.pdf,The attending surgeon was notiﬁed when the critical portion of the operation was reachedand supervised its completion,,,,,['complications'],General Surgery,General Surgery,0.84
[64%] Hysterectomy-Post.pdf,01 Sunset Date: 10/2019 Hysterec tomy Post-Opera tive Instruct ions General □ If you are having a Lapa rosco pic Hysterectomy or Vaginal Hysterectomy you can expect to go home later in the day of surgery or spend one night in the hospital,,,,,['bleeding'],General Surgery,General Surgery,0.64
[90%] PO_Laparoscopic-and-Open-Appendectomy.pdf,"GENERAL AND ONCOLOGIC SURGERY OF THE BREAST AND ABDOMEN 11 Overlook Road, Suite 160, Summit, NJ 07901, Tel: (908) 598-0966 PO LAP APPE - P",,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.9
[76%] Appendectomy-Post-Op-1.pdf,com Post-Operative instructions for Laparoscopic and Open Appendectomy Call and schedule your post-op visit to occur approximately 7-10 days after surgery,,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.76
[76%] 261420.pdf,", Suite 102, Reston, Virginia, 20190 Gallbladder Removal Post -op Expectations o Gallbladder removal is a major abdominal operation and a certain amount of postoperative pain occurs",,,,,['bleeding'],General Surgery,General Surgery,0.76
[84%] gall-bladder-removal.pdf,Get Well Soon This leaflet is a guide to recovering from a gallbladder removal operation,,,,,['complications'],General Surgery,General Surgery,0.84
[66%] 2023-Post-Op-Appendectomy.pdf,Most patients do not have their first bowel movement until at least 3 days after surgery,,general,,,[],General Surgery,General Surgery,0.66
[92%] 0976.pdf,0976/01/ March 2022 - Surgery  of 6 Discharge Instruction following Laparoscopic Cholecystectomy What is Laparoscopic Cholecystectomy? Laparoscopic cholecystectomy is minimally invasive surgical procedure to remove the gallbladder,,general,,,"['bleeding', 'infection', 'blood clot', 'complications']",General Surgery,General Surgery,0.92
[92%] LapAppendectomy.pdf,Minimally Invasive Surgery - 1 - Caring for myself after Laparoscopic Appendectomy What is Laparoscopy Appendectomy? Laparoscopy appendectomy is a surgery to treat appendicitis – infection of the appendix,,,,,"['infection', 'complications']",General Surgery,General Surgery,0.92
[72%] Laparoscopic%20Inguinal%20Hernia%20Repair%208-12_tcm75-618841.pdf," Walk to bathroom and other short distances only, on night of surgery",,,,,['bleeding'],General Surgery,General Surgery,0.72
[87%] PRN00250-dst-making-a-decision-about-inguinal-hernia.pdf,will get an inguinal hernia in their lifetime25 out of every 100 men 2 out of every 100 women Epigastric Umbilical Femoral Inguinal hernia is the most common Types of hernia What can I do about an inguinal hernia? Do nothing or watch and wait Things I can do myself Surgery open or keyhole mesh or stitches An inguinal hernia is when part of the intestines or fat poke through a ‘ window ’ of weakness in the inguinal canal,,,,,['infection'],General Surgery,General Surgery,0.87
[92%] Laparoscopic-Appendectomy-Post-Op-Handout-1.pdf,POST - OPERATIVE INSTRUCTIONS During the procedure local anaesthetic is injected into the operative site which should numb the area for 6-12 hours after your procedure,,,,,['bleeding'],General Surgery,General Surgery,0.92
[70%] 2023-Post-Op-Inguinal-Hernia.pdf,7298 POST OPERATIVE INSTRUCTIONS FOR LAPAROSCOPIC OR OPEN INGUINAL HERNIA REPAIR •A mild diet the day of surgery is recommended,,,,,[],General Surgery,Hernia Repair,0.7
[96%] LAP-INGUINAL-HERNIA-REPAIR-POST-OP-INSTRUCTIONS-1.pdf,"Laparoscopic Inguinal Hernia Repair Post-Op Instructions Post-Op To-Do List: Take Acetaminophen and Ibuprofen tablets every 6 hours together for 2-5 days Do not do anything strenuous for 2 weeks after surgery Please review the post op instructions below if you have questions Pain Soreness or pain at the incisions, the lower abdomen, and groin after surgery is normal",,local,,,['infection'],General Surgery,Hernia Repair,0.96
[87%] PRN00250-dst-making-a-decision-about-inguinal-hernia.pdf,will get an inguinal hernia in their lifetime25 out of every 100 men 2 out of every 100 women Epigastric Umbilical Femoral Inguinal hernia is the most common Types of hernia What can I do about an inguinal hernia? Do nothing or watch and wait Things I can do myself Surgery open or keyhole mesh or stitches An inguinal hernia is when part of the intestines or fat poke through a ‘ window ’ of weakness in the inguinal canal,,,,,['infection'],General Surgery,Hernia Repair,0.87
[96%] HiatalHerniaRepair.pdf,Preparing for your Transthoracic Hiatal Hernia Repair Pre and Post -Operative Information Department of Thoracic Surgery Thoracic Surgery Transthoracic Hiatal Hernia Repair - 2 - Table of Contents: What is a transthoracic hiatal hernia repair ?,,General,,,"['infection', 'blood clot', 'complications']",General Surgery,Hernia Repair,0.96
[64%] Hysterectomy-Post.pdf,01 Sunset Date: 10/2019 Hysterec tomy Post-Opera tive Instruct ions General □ If you are having a Lapa rosco pic Hysterectomy or Vaginal Hysterectomy you can expect to go home later in the day of surgery or spend one night in the hospital,,,,,['bleeding'],General Surgery,Hysterectomy,0.64
[76%] SBMC-Appendectomy-Surgery-Recovery-Guide.pdf,"Acute Care Surgery Comprehensive Recovery Guide - Appendix Surgery (Appendectomy)Acute Care Surgery Service______________________________________ Frank Traupman, MD Nina Glass, MD Aziz M",,,,,"['bleeding', 'infection']",General Surgery,Appendectomy,0.76
[90%] PO_Laparoscopic-and-Open-Appendectomy.pdf,"GENERAL AND ONCOLOGIC SURGERY OF THE BREAST AND ABDOMEN 11 Overlook Road, Suite 160, Summit, NJ 07901, Tel: (908) 598-0966 PO LAP APPE - P",,,,,"['bleeding', 'infection']",General Surgery,Appendectomy,0.9
[76%] Appendectomy-Post-Op-1.pdf,com Post-Operative instructions for Laparoscopic and Open Appendectomy Call and schedule your post-op visit to occur approximately 7-10 days after surgery,,,,,"['bleeding', 'infection']",General Surgery,Appendectomy,0.76
[66%] 2023-Post-Op-Appendectomy.pdf,Most patients do not have their first bowel movement until at least 3 days after surgery,,general,,,[],General Surgery,Appendectomy,0.66
[92%] LapAppendectomy.pdf,Minimally Invasive Surgery - 1 - Caring for myself after Laparoscopic Appendectomy What is Laparoscopy Appendectomy? Laparoscopy appendectomy is a surgery to treat appendicitis – infection of the appendix,,,,,"['infection', 'complications']",General Surgery,Appendectomy,0.92
[92%] Laparoscopic-Appendectomy-Post-Op-Handout-1.pdf,POST - OPERATIVE INSTRUCTIONS During the procedure local anaesthetic is injected into the operative site which should numb the area for 6-12 hours after your procedure,,,,,['bleeding'],General Surgery,Appendectomy,0.92
[82%] DOCN_Hemrhoidectomy-or-other-Rectal-Surgery.pdf,Hemorrhoidectomy: Before Your Surgery What is a hemorrhoidectomy? Hemorrhoidectomy is surgery to remove hemorrhoids,,Local,,,"['bleeding', 'infection']",General Surgery,Hemorrhoidectomy,0.82
