pdf_filename,pdf_path,procedure_category,specific_procedure,confidence_score,task_id,task_category,task_subcategory,task_description,timing,frequency,duration,importance_level,prerequisites,contraindications,warning_signs,special_equipment,provider_contact,follow_up_required,notes,is_new_category
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_5,Sleep Positioning,,You may be out of bed the evening of surgery.,,,,low,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_6,Hearing,,You may hear your doctor call this backward fow of blood leaking or regurgitation.,,,,low,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_7,Uncategorized,,Before Your Surgery .,,,,medium,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_8,Hearing,,After Heart Surgery Recovery at Home .,,,,medium,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_9,Hearing,,After Heart Surgery .,,,,medium,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_10,Hearing,,Before Your Surgery Plan early for going home.,,,,medium,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_11,Uncategorized,,After surgery you will be in the Intensive Care Unit for 12 to 24 hours before transferring to the Cardiovascular Progressive Care Unit.,,,,medium,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_12,Hearing,,"When narrowing occurs, the heart is not able to receive enough oxygenated blood.",,,,medium,,,,,,False,pattern,True
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_13,Activity Restrictions,,Exercises for Your Lungs .,,,,medium,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_14,Activity Restrictions,,"Exercise can help control other risk factors, such as high blood cholesterol, diabetes, obesity and stress.",,,,medium,,,,,,False,pattern,False
[100%] smh-cardiac-surgery-patient-information.pdf,agent_output/organized_pdfs/Cardiac Surgery/[100%] smh-cardiac-surgery-patient-information.pdf,Cardiac Surgery,Cardiac Surgery,1.0,[100%] smh-cardiac-surgery-patient-information_15,Activity Restrictions,,Exercise can also help lower blood pressure in some people.,,,,medium,,,,,,False,pattern,False
[92%] som107ap_l_ambulatory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] som107ap_l_ambulatory.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] som107ap_l_ambulatory_1,Pain Management,,Do not provide the ASC with advance notice of the survey.,,,,medium,,,,,,False,pattern,False
[92%] som107ap_l_ambulatory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] som107ap_l_ambulatory.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] som107ap_l_ambulatory_2,Uncategorized,,Do not delay the survey because the Administrator is not available.,,,,medium,,,,,,False,pattern,False
[92%] som107ap_l_ambulatory.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] som107ap_l_ambulatory.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] som107ap_l_ambulatory_3,Uncategorized,,When daily team meetings will take place if needed; and • The anticipated date and time of the Exit Conference.,,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_1,Uncategorized,,"After Surgery (ERAS) Society Recommendations:A 2021 Update Erik Stenberg1•Luiz Fernando dos Reis Falca ˜o2•Mary O’Kane3•Ronald Liem4,5• Dimitri J.",,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_2,Uncategorized,,"After Surgery (ERAS /C210) Society guideline, presenting a consensus for optimal perioperative care in bariatric surgery and providing recommendations for each ERAS itemwithin the ERAS /C210protocol.",,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_3,Pain Management,,"After critical appraisal of these studies, the group of authors reached consensus regarding recommendations.",,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_4,Uncategorized,,After Surgery (ERAS) Society in 2016 [ 7].,,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_5,Diet & Nutrition,,"While feasible, patients with diabetes and treatment with glucose- lowering drugs should closely monitor treatment effects, and be aware of the risk for hypoglycaemia.",,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_6,Uncategorized,,When CHO were administered to patients with T2D (mean BMI 28.,,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_7,Activity Restrictions,,No difference was found for the six-minute walking test.,,,,medium,,,,,,False,pattern,False
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_8,Diet & Nutrition,,"Diet (LCD,1000–1200 kcal/d) or Very Low Calorie Diet (VLCD, 800 kcal/d) is usually recommended prior to bariatric sur- gery.",,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_1,Physical Therapy,,"Contact with healthcare staff, Rehabilitation .",,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_2,Work Return,,"Contact with healthcare staff “Nice to start up in a safe and good environment ”,“It did not fit my working schedule ”,“Sad it wasn ’t offered ”.",,,,medium,,,,,,False,pattern,True
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_3,Work Return,,Return to work after cardiac valvular surgery.,,,,medium,,,,,,True,pattern,True
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_4,Insurance,,"Once symptomatic, heart valve disease severely restricts theperformance of daily livi ng and heart valve surgery often is inevitable [4].",,,,medium,,,,,,False,pattern,True
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_5,Hearing,,"Until recently, surgical valve replacement with open heart surgery was the only effective treatment option.",,,,medium,,,,,,False,pattern,True
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_6,Uncategorized,,"While it provided a frame, it was not followed step by step.",,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_7,Uncategorized,,When reading the transcripts we saw how the questions from the second interviewer added to the exploration.,,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_8,Insurance,,"When the structu ral analysis invalidated the naive understanding, the whole text was read again and anew naive understanding was formulated and checked by a new structural analysis.",,,,medium,,,,,,False,pattern,True
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_9,Activity Restrictions,,"When I came home, I couldn ’t do anything ”,“I felt weak when I walked on the street, I felt everyone pushed me ”,“I was limited, had to just follow the body ”.",,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_10,Uncategorized,,When I can go to the gym it’s not that bad ”.,,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_11,Activity Restrictions,,"When normal activities were resumed, patients felt relieved and proud of their recovery.",,,,medium,,,,,,False,pattern,False
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_12,Insurance,,"Within the hermeneutical qualitative methodology, thefollowing criteria can be used to assess the study ’s trust- worthiness: credibility, transferability, dependability andconformability [51].",,,,medium,,,,,,False,pattern,True
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_1,Follow-up Care,,Follow-up Appointment Call your family doctor to schedule this appointment once you know your angiogram date.,,,,medium,,,,,,True,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_2,Follow-up Care,,Follow-up Appointment Call your cardiologist to schedule this appointment.,,,,medium,,,,,,True,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_3,Smoking,,"You may have CAD because of high blood pressure, high cholesterol, diabetes, smoking, too much alcohol intake, or other risk factors.",,,,low,,,,,,False,pattern,True
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_4,Medication Management,,You may get this medication as a spray that you would spray under the tongue to treat chest pain when it occurs.,,,,low,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_5,Diet & Nutrition,,Do not eat anything at least 4 hours before your procedure.,,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_6,Diet & Nutrition,,You may drink clear fluids only.,,,,low,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_7,Uncategorized,,"Take off all make-up, nail polish, jewelry and body piercings.",,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_8,Uncategorized,,"Do not use perfume, cologne, scented cream, body lotion, deodorant and hair products.",,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_9,Smoking,,Do not smoke any tobacco products or recreational drugs.,,,,medium,,,,,,False,pattern,True
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_10,Medication Management,,"Do not take any prescription, over-the-counter or herbal medications unless directed by your doctor.",,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_11,Diet & Nutrition,,"When your blood vessels are blocked or damaged, the angiogram helps your cardiologist determine the source of the problem, the amount of the damage, and the best treatment options for you.",,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_12,Pet Care,,"After an angioplasty, you will be prescribed two anti-platelet medications that you must take as prescribed.",,,,high,,,,,,False,pattern,True
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_13,Diet & Nutrition,,Before the Procedure ¨ Do not eat anything at least 4 hours before your procedure.,,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_14,Pet Care,,"When you get to Sunnybrook, check-in at the B3 Outpatient Cath Lab (B312) or B3 Schulich Short Stay Unit (B313) at the time provided to you by the coordinator.",,,,medium,,,,,,False,pattern,True
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_15,Monitoring,,"After check-in, you will be taken to an assigned room.",,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_16,Uncategorized,,"Before your procedure, your cardiologist will explain the procedure to you and get your consent.",,,,medium,,,,,,False,pattern,False
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_17,Pet Care,,"When your cardiologist is ready, the nurses will take you to the catheterization lab (cath lab) and ask you to lie down on a special X-ray table.",,,,medium,,,,,,False,pattern,True
[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set_1,Uncategorized,,Take -Home Messages 2021 Guideline for Coronary Artery Revascularization 4 Top 10 Take Home Messages 51.,,,,medium,,,,,,False,pattern,False
[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set_2,Uncategorized,,Take Home Messages 2.,,,,medium,,,,,,False,pattern,False
[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set_3,Uncategorized,,Take Home Messages 3.,,,,medium,,,,,,False,pattern,False
[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set_4,Uncategorized,,Take Home Messages 4.,,,,medium,,,,,,False,pattern,False
[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set_5,Uncategorized,,Take Home Messages 5.,,,,medium,,,,,,False,pattern,False
[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] 2021-Coronary-Artery-Revascularization-Guideline-Slide-Set_6,Uncategorized,,Take Home Messages 6.,,,,medium,,,,,,False,pattern,False
[96%] som-2024-2025-82024.pdf,agent_output/organized_pdfs/Cardiac Surgery/[96%] som-2024-2025-82024.pdf,Cardiac Surgery,Cardiac Surgery,0.96,[96%] som-2024-2025-82024_1,Pet Care,,You may file a complaint with the State of Georgia Nonpublic Postsecondary Education Commission (GNPEC) website at www.,,,,low,,,,,,False,pattern,True
[96%] som-2024-2025-82024.pdf,agent_output/organized_pdfs/Cardiac Surgery/[96%] som-2024-2025-82024.pdf,Cardiac Surgery,Cardiac Surgery,0.96,[96%] som-2024-2025-82024_2,Pet Care,,You may also file a complaint about Emory University with the State of Georgia Nonpublic Postsecondary Education Commission (GNPEC).,,,,low,,,,,,False,pattern,True
[96%] som-2024-2025-82024.pdf,agent_output/organized_pdfs/Cardiac Surgery/[96%] som-2024-2025-82024.pdf,Cardiac Surgery,Cardiac Surgery,0.96,[96%] som-2024-2025-82024_3,Pet Care,,Contact Information Subject Contact Phone Email Clarification of Policy Office of the Provost 404-727-4170 nancy.,,,,medium,,,,,,False,pattern,True
[88%] jbmr_4691.pdf,agent_output/organized_pdfs/Cardiac Surgery/[88%] jbmr_4691.pdf,Cardiac Surgery,Cardiac Surgery,0.88,[88%] jbmr_4691_1,Diet & Nutrition,,Monitor serum calcium (ionized or albumin-adjusted) within several days of a signi ﬁcant change in medical treatment.,,,,medium,,,,,,False,pattern,False
[88%] jbmr_4691.pdf,agent_output/organized_pdfs/Cardiac Surgery/[88%] jbmr_4691.pdf,Cardiac Surgery,Cardiac Surgery,0.88,[88%] jbmr_4691_2,Physical Therapy,,"Avoid hypercalciuria when titrating calcium and active vitamin D analogue therapy, aiming for low normalplasma calcium levels.",,,,medium,,,,,,False,pattern,False
[88%] jbmr_4691.pdf,agent_output/organized_pdfs/Cardiac Surgery/[88%] jbmr_4691.pdf,Cardiac Surgery,Cardiac Surgery,0.88,[88%] jbmr_4691_3,Uncategorized,,Avoid hyperphosphatemia.,,,,medium,,,,,,False,pattern,False
[88%] jbmr_4691.pdf,agent_output/organized_pdfs/Cardiac Surgery/[88%] jbmr_4691.pdf,Cardiac Surgery,Cardiac Surgery,0.88,[88%] jbmr_4691_4,Uncategorized,,Avoid using thiazide diuretics and PTH or PTH ana- logues during pregnancy.,,,,medium,,,,,,False,pattern,False
