pdf_filename,procedure_name,procedure_description,typical_duration,anesthesia_type,hospital_stay,recovery_timeline,risks_mentioned,category,procedure,confidence
[82%] FFS%2021471681%20ENT%20Rhinoplasty%20After%20Surgery%20Booklet%20d4%20%281%29%20updated%205.4.20.pdf,[82%] Ffs%2021471681%20Ent%20Rhinoplasty%20After%20Surgery%20Booklet%20D4%20%281%29%20Updated%205.4.20,OREGON HEALTH & SCIENCE UNIVERSITY Rhinoplasty (Nasal Surgery) Postoperative Care 2 3 You have just had a “rhinoplasty” (surgery on your nose),,,,,[],Plastic Surgery,Plastic Surgery,0.82
[92%] mastectomy_postop_draft_LGM_20220425.pdf,Mastectomy,"Harvey Bumpers , MD, FACS MSU Health Care Surgery 4660 S",,,,,['bleeding'],Plastic Surgery,Mastectomy,0.92
[92%] guide-to-mastectomy-with-te-eras-31023.pdf,Mastectomy,Your Guide to Mastectomy with Tissue Expander s Surgery Preparing for and Recovering from Surgery Patient Name Surgeon Name Index: Introduction………………………………………………………,,,,,"['bleeding', 'complications']",Plastic Surgery,Mastectomy,0.92
[82%] CTMSPatientHandbook.pdf,Total Hip Replacement,"Patient Handbook2021 Center for Transgender Medicine and Surgery Comprehensive Care for Transgender and Non-Binary Individuals Welcome to the Mount Sinai Center for Transgender Medicine and Surgery At the Mount Sinai Center for Transgender Medicine and Surgery (CTMS), we provide comprehensive, compassionate care to transgender and non-binary individuals",,local,,,['complications'],Plastic Surgery,Total Hip Replacement,0.82
[88%] aftercare-facelift-neck-lift.pdf,Facelift,com for additional information on plastic surgery and wellness,,,,,[],Plastic Surgery,Facelift,0.88
[92%] Facelift-postop.pdf,Facelift,UMHS Plastic Surgery (734) 998-6022 - 1 - Face Lift Post -Operative Instructions What are my post -operative instructions? • Have someone drive you home after surgery and stay with you at home for 1 -2 days,,,,,"['bleeding', 'infection', 'blood clot', 'complications']",Plastic Surgery,Facelift,0.92
[82%] if-hp-cancer-guide-br016-breast-reconstruction.pdf,Mastectomy and Breast Conservation Surgery,ca 2 Guideline Resource Unit Last revised: February 2017 Background Local treatment for early breast cancer has shown the equivalence of total mastectomy and breast conservation surgery plus radiation therapy as it relates to overall survival,,,,,"['infection', 'scarring', 'complications']",Plastic Surgery,Breast Reconstruction,0.82
[80%] Breast-reconstruction-total-masectomy-post-op-care-221118.pdf,Breast Reconstruction,Drain tube A drain tube will be placed into the wound bed at the time of surgery to remove excess fluid,,,,,"['infection', 'scarring']",Plastic Surgery,Breast Reconstruction,0.8
[70%] 261417.pdf,[70%] 261417,", Suite 102, Reston, Virginia, 20190 Anti-reflux Surgery Post -op Expectations o Patients are encouraged to engage in light activity while at home after surgery",,,,,['bleeding'],GI Surgery,GI Surgery,0.7
[92%] s13017-018-0162-9.pdf,the Endoscopic Procedure,"ten Broek35, Luigi Zorcolo36, Maria Clotilde Carra37, Yoram Kluger10and Fausto Catena38 Abstract Iatrogenic colonoscopy perforation (ICP) is a severe complic ation that can occur during both diagnostic and therapeutic procedures",,General,,,"['bleeding', 'infection', 'complications']",GI Surgery,GI Surgery,0.92
[76%] Healy-Hip-Arthroscopy-Post-Op-Instructions.pdf,[76%] Healy,"●Low-grade temperatures up to 101 are common after surgery, please call if temperature rises above 101",,,,,['blood clot'],GI Surgery,GI Surgery,0.76
[76%] Healy-Hip-Arthroscopy-Post-Op-Instructions.pdf,Total Hip Replacement,"●Low-grade temperatures up to 101 are common after surgery, please call if temperature rises above 101",,,,,['blood clot'],GI Surgery,Total Hip Replacement,0.76
[70%] 2023-Post-Op-Inguinal-Hernia.pdf,or Open Inguinal Hernia Repair,7298 POST OPERATIVE INSTRUCTIONS FOR LAPAROSCOPIC OR OPEN INGUINAL HERNIA REPAIR •A mild diet the day of surgery is recommended,,,,,[],General Surgery,General Surgery,0.7
[96%] LAP-INGUINAL-HERNIA-REPAIR-POST-OP-INSTRUCTIONS-1.pdf,Inguinal Hernia Repair,"Laparoscopic Inguinal Hernia Repair Post-Op Instructions Post-Op To-Do List: Take Acetaminophen and Ibuprofen tablets every 6 hours together for 2-5 days Do not do anything strenuous for 2 weeks after surgery Please review the post op instructions below if you have questions Pain Soreness or pain at the incisions, the lower abdomen, and groin after surgery is normal",,local,,,['infection'],General Surgery,General Surgery,0.96
[82%] DOCN_Hemrhoidectomy-or-other-Rectal-Surgery.pdf,This Surgery,Hemorrhoidectomy: Before Your Surgery What is a hemorrhoidectomy? Hemorrhoidectomy is surgery to remove hemorrhoids,,Local,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.82
[74%] 261421.pdf,Hernia Repair,", Suite 102, Reston, Virginia, 20190 Post-op Hiatal Hernia / Paraesophageal Hernia Repair Post -op Expectations o Patients are encouraged to engage in light activity while at home after surgery",,,,,['bleeding'],General Surgery,General Surgery,0.74
[76%] SBMC-Appendectomy-Surgery-Recovery-Guide.pdf,Appendix Surgery,"Acute Care Surgery Comprehensive Recovery Guide - Appendix Surgery (Appendectomy)Acute Care Surgery Service______________________________________ Frank Traupman, MD Nina Glass, MD Aziz M",,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.76
[76%] Laparoscopic_cholecystectomy_postop_instructions.pdf,Surgery for Up To,POST OPERATIVE PATIENT INSTRUCTIONS Procedure: Laparoscopic Cholecystectomy – Gallbladder Removal WHAT TO EXPECT • Surgery to take about 1 hour • Recover from anesthesia usually 1 ½ hour before you are ready to go home • Pain or discomfort 2-3 days POST- OP • You will have absorbable sutures hidden under your skin with skin glue on top of your skin,,,,,['infection'],General Surgery,General Surgery,0.76
[53%] 99151403177386059.pdf,[53%] 99151403177386059,Preamble The laparoscopic approach to appendectomy has gained wide acceptance over the last 15 years as a means of improved diagnostic accuracy and wound complication rate over the open procedure,,general,,,"['infection', 'complications']",General Surgery,General Surgery,0.53
[90%] s13017-017-0149-y.pdf,Hernia Repair,A World Society of Emergency Surgery (WSES) Consensus Conference was held in Bergamo in July 2013 with the aim to define recommendations for emergency repair of abdominal wall hernias in adults,,local,,,"['infection', 'complications']",General Surgery,General Surgery,0.9
[88%] Post-op-instructions-5-2016.pdf,Instructions,"com ANAL AND RECTAL SURGERY POST-­‐OP INSTRUCTIONS FISTULOTOMY, FISSURECTOMY, SPHINCTEROTOMY, HEMORRHOIDECTOMY, ANAL WART REMOVAL, ANAL BIOPSY, ANAL DILATION, ANAL SETON REMOVAL, RECTAL BIOPSY, RECTAL PROLAPSE, RECTAL MASS REMOVAL, ANAL CANCER REMOVAL, ANAL SKIN TAG REMOVAL, LASER ABLATION OF HPV OR AIN OR CIS WHEN YOU RETURN HOME FROM SURGERY o Diet: • Consume only liquids or light food (soups, jello) if your stomach feels OK o Pain: • The local numbing injection given in surgery will last appr",,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.88
[92%] univ-colon-rectal-postop-instructions-anorectal-surgery.pdf,Instructions,"University Colon & Rectal Surgery 1934 Alcoa Hwy, Bldg",,general,,,"['bleeding', 'infection', 'scarring', 'complications']",General Surgery,General Surgery,0.92
[84%] Wojcik_Structured%20Operative%20Autonomy_JACS%202017.pdf,[84%] Wojcik Structured%20Operative%20Autonomy Jacs%202017,The attending surgeon was notiﬁed when the critical portion of the operation was reachedand supervised its completion,,,,,['complications'],General Surgery,General Surgery,0.84
[64%] Hysterectomy-Post.pdf,[64%] Hysterectomy,01 Sunset Date: 10/2019 Hysterec tomy Post-Opera tive Instruct ions General □ If you are having a Lapa rosco pic Hysterectomy or Vaginal Hysterectomy you can expect to go home later in the day of surgery or spend one night in the hospital,,,,,['bleeding'],General Surgery,General Surgery,0.64
[90%] PO_Laparoscopic-and-Open-Appendectomy.pdf,An Opened Operation,"GENERAL AND ONCOLOGIC SURGERY OF THE BREAST AND ABDOMEN 11 Overlook Road, Suite 160, Summit, NJ 07901, Tel: (908) 598-0966 PO LAP APPE - P",,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.9
[76%] Appendectomy-Post-Op-1.pdf,Laparoscopic Surgery,com Post-Operative instructions for Laparoscopic and Open Appendectomy Call and schedule your post-op visit to occur approximately 7-10 days after surgery,,,,,"['bleeding', 'infection']",General Surgery,General Surgery,0.76
[76%] 261420.pdf,the Gallbladder Removal,", Suite 102, Reston, Virginia, 20190 Gallbladder Removal Post -op Expectations o Gallbladder removal is a major abdominal operation and a certain amount of postoperative pain occurs",,,,,['bleeding'],General Surgery,General Surgery,0.76
[84%] gall-bladder-removal.pdf,,Get Well Soon This leaflet is a guide to recovering from a gallbladder removal operation,,,,,['complications'],General Surgery,General Surgery,0.84
[66%] 2023-Post-Op-Appendectomy.pdf,or Open Surgery,Most patients do not have their first bowel movement until at least 3 days after surgery,,general,,,[],General Surgery,General Surgery,0.66
[92%] 0976.pdf,Surgical Procedure,0976/01/ March 2022 - Surgery  of 6 Discharge Instruction following Laparoscopic Cholecystectomy What is Laparoscopic Cholecystectomy? Laparoscopic cholecystectomy is minimally invasive surgical procedure to remove the gallbladder,,general,,,"['bleeding', 'infection', 'blood clot', 'complications']",General Surgery,General Surgery,0.92
[92%] LapAppendectomy.pdf,Myself After the Surgery,Minimally Invasive Surgery - 1 - Caring for myself after Laparoscopic Appendectomy What is Laparoscopy Appendectomy? Laparoscopy appendectomy is a surgery to treat appendicitis – infection of the appendix,,,,,"['infection', 'complications']",General Surgery,General Surgery,0.92
[72%] Laparoscopic%20Inguinal%20Hernia%20Repair%208-12_tcm75-618841.pdf,Ingu Inal Hernia Repair," Walk to bathroom and other short distances only, on night of surgery",,,,,['bleeding'],General Surgery,General Surgery,0.72
[87%] PRN00250-dst-making-a-decision-about-inguinal-hernia.pdf,[87%] Prn00250,will get an inguinal hernia in their lifetime25 out of every 100 men 2 out of every 100 women Epigastric Umbilical Femoral Inguinal hernia is the most common Types of hernia What can I do about an inguinal hernia? Do nothing or watch and wait Things I can do myself Surgery open or keyhole mesh or stitches An inguinal hernia is when part of the intestines or fat poke through a ‘ window ’ of weakness in the inguinal canal,,,,,['infection'],General Surgery,General Surgery,0.87
[92%] Laparoscopic-Appendectomy-Post-Op-Handout-1.pdf,[92%] Laparoscopic,POST - OPERATIVE INSTRUCTIONS During the procedure local anaesthetic is injected into the operative site which should numb the area for 6-12 hours after your procedure,,,,,['bleeding'],General Surgery,General Surgery,0.92
[70%] 2023-Post-Op-Inguinal-Hernia.pdf,or Open Inguinal Hernia Repair,7298 POST OPERATIVE INSTRUCTIONS FOR LAPAROSCOPIC OR OPEN INGUINAL HERNIA REPAIR •A mild diet the day of surgery is recommended,,,,,[],General Surgery,Hernia Repair,0.7
[96%] LAP-INGUINAL-HERNIA-REPAIR-POST-OP-INSTRUCTIONS-1.pdf,Inguinal Hernia Repair,"Laparoscopic Inguinal Hernia Repair Post-Op Instructions Post-Op To-Do List: Take Acetaminophen and Ibuprofen tablets every 6 hours together for 2-5 days Do not do anything strenuous for 2 weeks after surgery Please review the post op instructions below if you have questions Pain Soreness or pain at the incisions, the lower abdomen, and groin after surgery is normal",,local,,,['infection'],General Surgery,Hernia Repair,0.96
[87%] PRN00250-dst-making-a-decision-about-inguinal-hernia.pdf,Hernia Repair,will get an inguinal hernia in their lifetime25 out of every 100 men 2 out of every 100 women Epigastric Umbilical Femoral Inguinal hernia is the most common Types of hernia What can I do about an inguinal hernia? Do nothing or watch and wait Things I can do myself Surgery open or keyhole mesh or stitches An inguinal hernia is when part of the intestines or fat poke through a ‘ window ’ of weakness in the inguinal canal,,,,,['infection'],General Surgery,Hernia Repair,0.87
[96%] HiatalHerniaRepair.pdf,Hernia Repair,Preparing for your Transthoracic Hiatal Hernia Repair Pre and Post -Operative Information Department of Thoracic Surgery Thoracic Surgery Transthoracic Hiatal Hernia Repair - 2 - Table of Contents: What is a transthoracic hiatal hernia repair ?,,General,,,"['infection', 'blood clot', 'complications']",General Surgery,Hernia Repair,0.96
[64%] Hysterectomy-Post.pdf,Hysterectomy,01 Sunset Date: 10/2019 Hysterec tomy Post-Opera tive Instruct ions General □ If you are having a Lapa rosco pic Hysterectomy or Vaginal Hysterectomy you can expect to go home later in the day of surgery or spend one night in the hospital,,,,,['bleeding'],General Surgery,Hysterectomy,0.64
[76%] SBMC-Appendectomy-Surgery-Recovery-Guide.pdf,Appendix Surgery,"Acute Care Surgery Comprehensive Recovery Guide - Appendix Surgery (Appendectomy)Acute Care Surgery Service______________________________________ Frank Traupman, MD Nina Glass, MD Aziz M",,,,,"['bleeding', 'infection']",General Surgery,Appendectomy,0.76
[90%] PO_Laparoscopic-and-Open-Appendectomy.pdf,An Opened Operation,"GENERAL AND ONCOLOGIC SURGERY OF THE BREAST AND ABDOMEN 11 Overlook Road, Suite 160, Summit, NJ 07901, Tel: (908) 598-0966 PO LAP APPE - P",,,,,"['bleeding', 'infection']",General Surgery,Appendectomy,0.9
[76%] Appendectomy-Post-Op-1.pdf,Laparoscopic Surgery,com Post-Operative instructions for Laparoscopic and Open Appendectomy Call and schedule your post-op visit to occur approximately 7-10 days after surgery,,,,,"['bleeding', 'infection']",General Surgery,Appendectomy,0.76
[66%] 2023-Post-Op-Appendectomy.pdf,or Open Surgery,Most patients do not have their first bowel movement until at least 3 days after surgery,,general,,,[],General Surgery,Appendectomy,0.66
[92%] LapAppendectomy.pdf,Myself After the Surgery,Minimally Invasive Surgery - 1 - Caring for myself after Laparoscopic Appendectomy What is Laparoscopy Appendectomy? Laparoscopy appendectomy is a surgery to treat appendicitis – infection of the appendix,,,,,"['infection', 'complications']",General Surgery,Appendectomy,0.92
[92%] Laparoscopic-Appendectomy-Post-Op-Handout-1.pdf,Appendectomy,POST - OPERATIVE INSTRUCTIONS During the procedure local anaesthetic is injected into the operative site which should numb the area for 6-12 hours after your procedure,,,,,['bleeding'],General Surgery,Appendectomy,0.92
[82%] DOCN_Hemrhoidectomy-or-other-Rectal-Surgery.pdf,This Surgery,Hemorrhoidectomy: Before Your Surgery What is a hemorrhoidectomy? Hemorrhoidectomy is surgery to remove hemorrhoids,,Local,,,"['bleeding', 'infection']",General Surgery,Hemorrhoidectomy,0.82
[92%] univ-colon-rectal-postop-instructions-anorectal-surgery.pdf,Hemorrhoidectomy,"University Colon & Rectal Surgery 1934 Alcoa Hwy, Bldg",,general,,,"['bleeding', 'infection', 'scarring', 'complications']",General Surgery,Hemorrhoidectomy,0.92
[76%] Laparoscopic_cholecystectomy_postop_instructions.pdf,Surgery for Up To,POST OPERATIVE PATIENT INSTRUCTIONS Procedure: Laparoscopic Cholecystectomy – Gallbladder Removal WHAT TO EXPECT • Surgery to take about 1 hour • Recover from anesthesia usually 1 ½ hour before you are ready to go home • Pain or discomfort 2-3 days POST- OP • You will have absorbable sutures hidden under your skin with skin glue on top of your skin,,,,,['infection'],General Surgery,Gallbladder Removal,0.76
[84%] gall-bladder-removal.pdf,Gallbladder Removal,Get Well Soon This leaflet is a guide to recovering from a gallbladder removal operation,,,,,['complications'],General Surgery,Gallbladder Removal,0.84
[90%] post-operative-care-for-extractions.pdf,Extractions,Tooth Extraction Post -Operative Instructions BLEEDING Bleeding after surgery may continue for several hours,,,,,"['bleeding', 'infection', 'blood clot']",Oral Surgery,Oral Surgery,0.9
[90%] 200218_OSSC_Instructions_Post-Operative_Wisdom_Teeth_FINAL.pdf,[90%] 200218 Ossc Instructions Post,"Unless told otherwise, do not engage in any vigorous physical activity for 3 days following your surgery",,local,,,"['bleeding', 'infection', 'blood clot', 'complications']",Oral Surgery,Oral Surgery,0.9
[84%] ALP-Post-Op_Instructions-Dental_Implants.pdf,Oral Surgery,"Post-Operative Instructions: Dental Implants If you have any questions or concerns after your surgery, you can reach your doctor 24 hours a day by calling our office number",,,,,['bleeding'],Oral Surgery,Oral Surgery,0.84
[74%] ALP-Post-Op_Instructions-Orthothic.pdf,Op Instructions,"Post-Operative Instructions: Orthognathic Surgery If you have any questions or concerns after your surgery, you can reach your doctor 24 hours a day by calling our office number",,general,,,"['bleeding', 'infection']",Oral Surgery,Oral Surgery,0.74
