pdf_filename,pdf_path,procedure_category,specific_procedure,confidence_score,task_id,task_category,task_subcategory,task_description,timing,frequency,duration,importance_level,prerequisites,contraindications,warning_signs,special_equipment,provider_contact,follow_up_required,notes,is_new_category,enhanced,description_length
[92%] s00268-021-06394-9.pdf,agent_output/organized_pdfs/Cardiac Surgery/[92%] s00268-021-06394-9.pdf,Cardiac Surgery,Cardiac Surgery,0.92,[92%] s00268-021-06394-9_8,Diet & Nutrition,,"Diet (LCD,1000–1200 kcal/d) or Very Low Calorie Diet (VLCD, 800 kcal/d) is usually recommended prior to bariatric sur- gery.",,,,medium,,,,,,False,pattern,False,False,124
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_1,Physical Therapy,,"Contact with healthcare staff, Rehabilitation .Disturbed body :Stressful complications, Bodily attention, Physically affected, Physical capability .Recovery :Interrupted living, Suffering weakness, Gradual recovery, Achieving normality .",,,,medium,,,,,,False,pattern,False,True,237
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_2,Work Return,,"Contact with healthcare staff “Nice to start up in a safe and good environment ”,“It did not fit my working schedule ”,“Sad it wasn ’t offered ”.Rehabilitation. Berg et al.",,,,medium,,,,,,False,pattern,True,True,172
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_3,Work Return,,"Return to work after cardiac valvular surgery. Retrospective study of a series of 105 patients. Arch Mal Coeur Vaiss 2003, 96(1):15 –22.",,,,medium,,,,,,True,pattern,True,True,136
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_4,Insurance,,"Once symptomatic, heart valve disease severely restricts theperformance of daily livi ng and heart valve surgery often is inevitable [4]. Until recently, surgical valve replacement with open heart surgery was the only effective treatment option. Though, this procedure is associated with higher morb idity and mortality in the elderly compared to younger patients.",,,,medium,,,,,,False,pattern,True,True,364
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_5,Hearing,,"Once symptomatic, heart valve disease severely restricts theperformance of daily livi ng and heart valve surgery often is inevitable [4]. Until recently, surgical valve replacement with open heart surgery was the only effective treatment option. Though, this procedure is associated with higher morb idity and mortality in the elderly compared to younger patients.",,,,medium,,,,,,False,pattern,True,True,364
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_6,Uncategorized,,"While it provided a frame, it was not followed step by step. The patientsspent a few moments reading through the guide before the interview to familiarize themselves with the questions. The interviews took 30 –50 minutes on average.",,,,medium,,,,,,False,pattern,False,True,232
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_7,Uncategorized,,When reading the transcripts we saw how the questions from the second interviewer added to the exploration.The researchers were not known to the patients before- hand. The interviews were tape recorded and subsequently transcribed by a secretary.,,,,medium,,,,,,False,pattern,False,True,246
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_8,Insurance,,"When the structu ral analysis invalidated the naive understanding, the whole text was read again and anew naive understanding was formulated and checked by a new structural analysis. This process of comparing the naive reading and the structural analysis was repeated untilthe naive understanding was validated through the dialectic process between explanatio n and understanding [18,19] . Critical interpretation and discussion The themes were compared and contrasted to other re- search findings and the meaning discussed.",,,,medium,,,,,,False,pattern,True,True,524
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_9,Activity Restrictions,,"When I came home, I couldn ’t do anything ”,“I felt weak when I walked on the street, I felt everyone pushed me ”,“I was limited, had to just follow the body ”.Suffering weakness “I felt better every day ”,“It was a big step when I took a walk alone, a little further every day ”,”I was really happy to experience improvements every week ”.Gradual recovery ”I feel as I normally do ”,“It was a statement to them ”“When I can go to the gym it’s not that bad ”.",,,,medium,,,,,,False,pattern,False,True,459
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_10,Uncategorized,,"When I came home, I couldn ’t do anything ”,“I felt weak when I walked on the street, I felt everyone pushed me ”,“I was limited, had to just follow the body ”.Suffering weakness “I felt better every day ”,“It was a big step when I took a walk alone, a little further every day ”,”I was really happy to experience improvements every week ”.Gradual recovery ”I feel as I normally do ”,“It was a statement to them ”“When I can go to the gym it’s not that bad ”.",,,,medium,,,,,,False,pattern,False,True,459
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_11,Activity Restrictions,,"When normal activities were resumed, patients felt relieved and proud of their recovery. Reflections The meaning units and significant units leading to thetheme Reflections are presented in Table 5. Manythoughts about the procedure were experienced.",,,,medium,,,,,,False,pattern,False,True,249
[59%] 1472-6955-12-23.pdf,agent_output/organized_pdfs/Cardiac Surgery/[59%] 1472-6955-12-23.pdf,Cardiac Surgery,Cardiac Surgery,0.59,[59%] 1472-6955-12-23_12,Insurance,,"Within the hermeneutical qualitative methodology, thefollowing criteria can be used to assess the study ’s trust- worthiness: credibility, transferability, dependability andconformability [51]. Credibility is a parallel to internal validity, securing a match between the realities of the interviewees and thestudy results. The patients ’statements were repeated to them during the interview to en sure that the interpretation was correct.",,,,medium,,,,,,False,pattern,True,True,438
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_1,Follow-up Care,,Call your family doctor to schedule this appointment once you know your angiogram date. Family Doctor Name: Telephone: Appointment Date:Time:4 to 6 weeks after discharge 3 Cardiologist Follow-up Appointment Call your cardiologist to schedule this appointment. Cardiologist Name: Telephone: Appointment Date:Time: My Angiogram · 5Introduction How to Use this Guide The information in this guide will help you get ready for your angiogram.,,,,medium,,,,,,True,pattern,False,True,437
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_2,Follow-up Care,,Call your family doctor to schedule this appointment once you know your angiogram date. Family Doctor Name: Telephone: Appointment Date:Time:4 to 6 weeks after discharge 3 Cardiologist Follow-up Appointment Call your cardiologist to schedule this appointment. Cardiologist Name: Telephone: Appointment Date:Time: My Angiogram · 5Introduction How to Use this Guide The information in this guide will help you get ready for your angiogram.,,,,medium,,,,,,True,pattern,False,True,437
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_3,Smoking,,"You may have CAD because of high blood pressure, high cholesterol, diabetes, smoking, too much alcohol intake, or other risk factors. One of the tests your cardiologist may do to assess your arteries is called an angiogram. What is an Angiogram?",,,,low,,,,,,False,pattern,True,True,245
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_4,Medication Management,,You may get this medication as a spray that you would spray under the tongue to treat chest pain when it occurs. 10 · My Angiogram. Notes My Angiogram · 11Day of Angiogram In Hospital The Day of Angiogram Rescheduled Procedures Sometimes procedures are cancelled because there is someone else who needs an emergency procedure.,,,,low,,,,,,False,pattern,False,True,326
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_5,Diet & Nutrition,,"Before the Procedure ¨ Do not eat anything at least 4 hours before your procedure. You may drink clear fluids only. ¨ Take off all make-up, nail polish, jewelry and body piercings.",,,,medium,,,,,,False,pattern,False,True,180
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_6,Diet & Nutrition,,"Before the Procedure ¨ Do not eat anything at least 4 hours before your procedure. You may drink clear fluids only. ¨ Take off all make-up, nail polish, jewelry and body piercings.",,,,low,,,,,,False,pattern,False,True,180
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_7,Uncategorized,,"Before the Procedure ¨ Do not eat anything at least 4 hours before your procedure. You may drink clear fluids only. ¨ Take off all make-up, nail polish, jewelry and body piercings.",,,,medium,,,,,,False,pattern,False,True,180
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_8,Uncategorized,,"Do not use perfume, cologne, scented cream, body lotion, deodorant and hair products. Sunnybrook is a fragrance-free hospital. ¨ Do not smoke any tobacco products or recreational drugs.",,,,medium,,,,,,False,pattern,False,True,185
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_9,Smoking,,"Do not use perfume, cologne, scented cream, body lotion, deodorant and hair products. Sunnybrook is a fragrance-free hospital. ¨ Do not smoke any tobacco products or recreational drugs.",,,,medium,,,,,,False,pattern,True,True,185
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_10,Medication Management,,"Do not take any prescription, over-the-counter or herbal medications unless directed by your doctor. What to bring to the hospital: ¨This booklet ¨Your Ontario Health Card ¨Glasses, dentures, hearing aids and any walking aids you may need ¨Sleep apnea machine (CPAP or BIPAP), if you have one ¨Toiletries, such as toothbrush, toothpaste and facial tissues ¨Comfortable, non-slip-footwear and any orthotics or prosthetics you use ¨Your prescription and over-the-counter medications in the original containers they came in (e.g.",,,,medium,,,,,,False,pattern,False,True,526
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_11,Diet & Nutrition,,"When your blood vessels are blocked or damaged, the angiogram helps your cardiologist determine the source of the problem, the amount of the damage, and the best treatment options for you. My Angiogram · 7Diagnosing the Problem In Hospital Diagnosing the Problem Understanding Your Treatment Options Depending on the results of your angiogram and other diagnostic tests, you may need more treatment. This may include angioplasty, coronary artery bypass surgery, or medication management.",,,,medium,,,,,,False,pattern,False,True,487
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_12,Medication Management,,"After an angioplasty, you will be prescribed two anti-platelet medications that you must take as prescribed. These medications will help keep the artery open after your blockage is repaired. Never stop taking these medications unless instructed by your cardiologist.",,,,high,,,,,,False,pattern,True,True,266
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_13,Diet & Nutrition,,"Before the Procedure ¨ Do not eat anything at least 4 hours before your procedure. You may drink clear fluids only. ¨ Take off all make-up, nail polish, jewelry and body piercings.",,,,medium,,,,,,False,pattern,False,True,180
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_14,Follow-up Care,,"When you get to Sunnybrook, check-in at the B3 Outpatient Cath Lab (B312) or B3 Schulich Short Stay Unit (B313) at the time provided to you by the coordinator. After check-in, you will be taken to an assigned room. You will be asked to take off all clothing and put on a hospital gown.",,,,medium,,,,,,False,pattern,True,True,285
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_15,Monitoring,,"When you get to Sunnybrook, check-in at the B3 Outpatient Cath Lab (B312) or B3 Schulich Short Stay Unit (B313) at the time provided to you by the coordinator. After check-in, you will be taken to an assigned room. You will be asked to take off all clothing and put on a hospital gown.",,,,medium,,,,,,False,pattern,False,True,285
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_16,Uncategorized,,"Before your procedure, your cardiologist will explain the procedure to you and get your consent. When your cardiologist is ready, the nurses will take you to the catheterization lab (cath lab) and ask you to lie down on a special X-ray table. The procedure can take 30 minutes to several hours depending on your needs.",,,,medium,,,,,,False,pattern,False,True,318
[87%] pr-44459-my-angiogram-guide-acc.pdf,agent_output/organized_pdfs/Cardiac Surgery/[87%] pr-44459-my-angiogram-guide-acc.pdf,Cardiac Surgery,Cardiac Surgery,0.87,[87%] pr-44459-my-angiogram-guide-acc_17,Pre-procedure,,"Before your procedure, your cardiologist will explain the procedure to you and get your consent. When your cardiologist is ready, the nurses will take you to the catheterization lab (cath lab) and ask you to lie down on a special X-ray table. The procedure can take 30 minutes to several hours depending on your needs.",,,,medium,,,,,,False,pattern,True,True,318
[96%] som-2024-2025-82024.pdf,agent_output/organized_pdfs/Cardiac Surgery/[96%] som-2024-2025-82024.pdf,Cardiac Surgery,Cardiac Surgery,0.96,[96%] som-2024-2025-82024_1,Administrative,,You may file a complaint with the State of Georgia Nonpublic Postsecondary Education Commission (GNPEC) website at www.GNPEC.org to submit your complaint/grievance with the state.,,,,low,,,,,,False,pattern,True,True,179
